City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,anadyr,64.75,177.4833,13.28,54,75,6.0,RU,1723867223
261,tome,-36.6167,-72.95,6.34,70,100,2.45,CL,1723867225
262,abu jibeha,11.4562,31.2285,22.08,93,100,2.14,SD,1723867226
263,howrah,22.5892,88.3103,32.0,74,40,2.06,IN,1723867227
264,port douglas,-16.4833,145.4667,24.6,61,0,2.79,AU,1723867229
265,tippi,7.2,35.45,17.05,96,92,1.37,ET,1723867230
266,timbuktu,16.7735,-3.0074,27.68,73,96,5.04,ML,1723867231
267,sheridan,44.8333,-106.9173,23.51,48,0,0.45,US,1723867233
268,dehui,44.5333,125.7,27.63,72,100,0.75,CN,1723867234
269,bac lieu,9.285,105.7244,30.73,66,100,3.79,VN,1723867235
270,gereida,11.2811,25.1414,23.62,86,99,5.11,SD,1723867237
271,fort st. john,56.2499,-120.8529,12.94,71,100,1.03,CA,1723867238
272,kirkland lake,48.1446,-80.0377,21.16,73,100,0.51,CA,1723867239
273,asaita,11.5636,41.4394,28.03,67,99,2.35,ET,1723867241
274,santa cruz,-17.8,-63.1667,24.7,78,0,5.66,BO,1723867227
275,las lomitas,-24.7096,-60.593,21.75,47,100,0.84,AR,1723867243
276,coelho neto,-4.2567,-43.0128,19.11,90,19,0.87,BR,1723867245
277,omdurman,15.6445,32.4777,27.33,72,40,7.49,SD,1723867246
278,al jubayl,27.0112,49.6583,36.23,28,22,4.73,SA,1723867247
279,murashi,59.3999,48.9615,13.13,89,100,3.29,RU,1723867249
280,belmonte,-15.8631,-38.8828,21.97,74,0,1.49,BR,1723867250
281,la asuncion,11.0333,-63.8628,28.85,79,25,4.12,VE,1723867251
282,arkalyk,50.2486,66.9114,18.62,44,66,4.38,KZ,1723867254
283,gwadar,25.1216,62.3254,28.37,78,99,2.98,PK,1723867255
284,sydney mines,46.2367,-60.2177,16.88,97,66,0.89,CA,1723867257
285,noosa heads,-26.3833,153.15,25.3,48,0,3.74,AU,1723867258
286,chela,34.069,104.4619,19.3,64,71,0.65,CN,1723867259
287,college,64.8569,-147.8028,11.99,89,100,6.69,US,1723867261
288,thabazimbi,-24.5917,27.4116,12.29,38,0,1.41,ZA,1723867262
289,lorengau,-2.0226,147.2712,27.21,84,94,3.96,PG,1723867264
290,muriti,-1.9833,32.9167,22.29,55,81,8.11,TZ,1723867266
291,mindelo,16.8901,-24.9804,25.75,89,75,2.06,CV,1723867267
292,darwin,-12.4611,130.8418,30.99,42,20,4.63,AU,1723866955
293,san fernando de apure,7.8878,-67.4724,22.67,96,53,1.27,VE,1723867270
294,piti village,13.4626,144.6933,27.03,93,100,3.3,GU,1723867271
295,iskateley,67.6803,53.1512,13.43,68,4,5.27,RU,1723867273
296,palu,-0.8917,119.8707,31.85,65,21,1.75,ID,1723867274
297,balikesir,39.75,28.0,16.44,90,0,3.11,TR,1723867275
298,nadym,65.5333,72.5167,14.03,95,100,3.62,RU,1723867278
299,ribeira brava,32.65,-17.0667,28.35,33,0,0.71,PT,1723867280
300,lexington,37.9887,-84.4777,24.51,87,2,3.0,US,1723867281
301,nyurba,63.2842,118.3319,20.7,38,15,2.1,RU,1723867283
302,enewetak,11.3474,162.3373,28.72,77,100,5.31,MH,1723867286
303,stuttgart,48.7823,9.177,19.78,81,0,1.03,DE,1723867214
304,wangon,-7.5161,109.0539,29.58,54,77,4.65,ID,1723867289
305,zouerate,22.7187,-12.4521,27.81,32,40,4.89,MR,1723867290
306,zabol,32.25,67.25,25.74,47,27,3.21,AF,1723867291
307,krasnoturansk,54.3186,91.5639,22.64,64,71,4.05,RU,1723867293
308,san luis de la loma,17.2706,-100.8939,26.7,80,85,1.53,MX,1723867294
309,jiangzi,28.95,89.6333,12.29,28,1,1.4,CN,1723867295
310,babayevo,59.3936,35.9371,15.09,98,100,2.96,RU,1723867297
311,ta`u,-14.2336,-169.5144,25.95,81,43,10.09,AS,1723867299
312,maracacume,-2.0428,-45.9592,20.89,94,2,1.51,BR,1723867300
313,egilsstadir,65.2653,-14.3948,8.95,76,100,4.12,IS,1723867301
314,newman,37.3138,-121.0208,25.02,52,0,0.45,US,1723867303
315,wuhai,39.6647,106.8122,29.14,29,30,4.09,CN,1723867304
316,inirida,3.8653,-67.9239,23.23,88,52,0.72,CO,1723867305
317,tongliao,43.6125,122.2653,30.46,52,100,0.98,CN,1723867226
318,hell-ville,-13.4,48.2667,23.0,65,1,3.79,MG,1723867308
319,pangoa,-12.1167,-73.0,20.96,66,5,1.74,PE,1723867309
